film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,film_last_update,language_name,category_name,actor_id,actor_first_name,actor_last_name,actor_last_update
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Horror,41,JODIE,DEGENERES,"2006-02-15 04:34:33"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Horror,81,SCARLETT,DAMON,"2006-02-15 04:34:33"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Horror,88,KENNETH,PESCI,"2006-02-15 04:34:33"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Horror,147,FAY,WINSLET,"2006-02-15 04:34:33"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Horror,162,OPRAH,KILMER,"2006-02-15 04:34:33"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42",English,Family,51,GARY,PHOENIX,"2006-02-15 04:34:33"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42",English,Family,59,DUSTIN,TAUTOU,"2006-02-15 04:34:33"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42",English,Family,103,MATTHEW,LEIGH,"2006-02-15 04:34:33"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42",English,Family,181,MATTHEW,CARREY,"2006-02-15 04:34:33"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42",English,Family,200,THORA,TEMPLE,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,21,KIRSTEN,PALTROW,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,23,SANDRA,KILMER,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,62,JAYNE,NEESON,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,108,WARREN,NOLTE,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,137,MORGAN,WILLIAMS,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,169,KENNETH,HOFFMAN,"2006-02-15 04:34:33"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42",English,Foreign,197,REESE,WEST,"2006-02-15 04:34:33"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Comedy,99,JIM,MOSTEL,"2006-02-15 04:34:33"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Comedy,133,RICHARD,PENN,"2006-02-15 04:34:33"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Comedy,162,OPRAH,KILMER,"2006-02-15 04:34:33"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Comedy,170,MENA,HOPPER,"2006-02-15 04:34:33"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Comedy,185,MICHAEL,BOLGER,"2006-02-15 04:34:33"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42",English,Horror,55,FAY,KILMER,"2006-02-15 04:34:33"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42",English,Horror,96,GENE,WILLIS,"2006-02-15 04:34:33"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42",English,Horror,110,SUSAN,DAVIS,"2006-02-15 04:34:33"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42",English,Horror,138,LUCILLE,DEE,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,10,CHRISTIAN,GABLE,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,22,ELVIS,MARX,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,26,RIP,CRAWFORD,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,53,MENA,TEMPLE,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,68,RIP,WINSLET,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,108,WARREN,NOLTE,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,130,GRETA,KEITEL,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,175,WILLIAM,HACKMAN,"2006-02-15 04:34:33"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,194,MERYL,ALLEN,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,29,ALEC,WAYNE,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,35,JUDY,DEAN,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,37,VAL,BOLGER,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,64,RAY,JOHANSSON,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,117,RENEE,TRACY,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,142,JADA,RYDER,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,157,GRETA,MALDEN,"2006-02-15 04:34:33"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Sports,188,ROCK,DUKAKIS,"2006-02-15 04:34:33"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,40,JOHNNY,CAGE,"2006-02-15 04:34:33"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,81,SCARLETT,DAMON,"2006-02-15 04:34:33"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,90,SEAN,GUINESS,"2006-02-15 04:34:33"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,174,MICHAEL,BENING,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,37,VAL,BOLGER,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,75,BURT,POSEY,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,105,SIDNEY,CROWE,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,109,SYLVESTER,DERN,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,146,ALBERT,JOHANSSON,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,177,GENE,MCKELLEN,"2006-02-15 04:34:33"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",English,Music,180,JEFF,SILVERSTONE,"2006-02-15 04:34:33"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Horror,77,CARY,MCCONAUGHEY,"2006-02-15 04:34:33"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Horror,91,CHRISTOPHER,BERRY,"2006-02-15 04:34:33"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Horror,94,KENNETH,TORN,"2006-02-15 04:34:33"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Horror,114,MORGAN,MCDORMAND,"2006-02-15 04:34:33"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Horror,176,JON,CHASE,"2006-02-15 04:34:33"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Classics,28,WOODY,HOFFMAN,"2006-02-15 04:34:33"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Classics,85,MINNIE,ZELLWEGER,"2006-02-15 04:34:33"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Classics,137,MORGAN,WILLIAMS,"2006-02-15 04:34:33"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Classics,188,ROCK,DUKAKIS,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,36,BURT,DUKAKIS,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,69,KENNETH,PALTROW,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,105,SIDNEY,CROWE,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,117,RENEE,TRACY,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,164,HUMPHREY,WILLIS,"2006-02-15 04:34:33"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",English,Foreign,170,MENA,HOPPER,"2006-02-15 04:34:33"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",English,Foreign,12,KARL,BERRY,"2006-02-15 04:34:33"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",English,Foreign,57,JUDE,CRUISE,"2006-02-15 04:34:33"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",English,Foreign,146,ALBERT,JOHANSSON,"2006-02-15 04:34:33"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",English,Foreign,191,GREGORY,GOODING,"2006-02-15 04:34:33"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",English,Foreign,192,JOHN,SUVARI,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,3,ED,CHASE,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,12,KARL,BERRY,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,13,UMA,WOOD,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,82,WOODY,JOLIE,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,100,SPENCER,DEPP,"2006-02-15 04:34:33"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42",English,Music,160,CHRIS,DEPP,"2006-02-15 04:34:33"
